Timestamp,gate-name,car-type,volumn
2015-05-01,camping0,1,1
2015-05-01,camping0,3,1
2015-05-01,camping2,3,4
2015-05-01,camping3,1,7
2015-05-01,camping3,2,1
2015-05-01,camping5,1,1
2015-05-01,camping5,2,1
2015-05-01,camping6,1,4
2015-05-01,camping7,1,2
2015-05-01,camping8,1,1
2015-05-01,camping8,2P,3
2015-05-01,entrance0,1,4
2015-05-01,entrance0,2,1
2015-05-01,entrance0,3,1
2015-05-01,entrance1,1,4
2015-05-01,entrance1,2,2
2015-05-01,entrance1,3,1
2015-05-01,entrance1,4,2
2015-05-01,entrance1,5,1
2015-05-01,entrance2,1,3
2015-05-01,entrance2,2,4
2015-05-01,entrance2,3,5
2015-05-01,entrance2,4,2
2015-05-01,entrance2,5,1
2015-05-01,entrance3,1,8
2015-05-01,entrance3,2,1
2015-05-01,entrance3,3,1
2015-05-01,entrance3,4,3
2015-05-01,entrance3,5,2
2015-05-01,entrance4,1,8
2015-05-01,entrance4,2,4
2015-05-01,entrance4,3,3
2015-05-01,entrance4,4,5
2015-05-01,entrance4,5,2
2015-05-01,gate3,2P,2
2015-05-01,gate4,2P,4
2015-05-01,gate5,2P,6
2015-05-01,gate8,2P,8
2015-05-01,general-gate1,1,11
2015-05-01,general-gate1,2,4
2015-05-01,general-gate1,2P,2
2015-05-01,general-gate1,3,4
2015-05-01,general-gate1,4,5
2015-05-01,general-gate1,5,1
2015-05-01,general-gate2,1,11
2015-05-01,general-gate2,2,4
2015-05-01,general-gate2,2P,4
2015-05-01,general-gate2,3,4
2015-05-01,general-gate2,4,5
2015-05-01,general-gate2,5,1
2015-05-01,general-gate3,2P,1
2015-05-01,general-gate4,1,8
2015-05-01,general-gate4,2,4
2015-05-01,general-gate4,2P,2
2015-05-01,general-gate4,3,3
2015-05-01,general-gate4,4,2
2015-05-01,general-gate5,1,11
2015-05-01,general-gate5,2,2
2015-05-01,general-gate5,2P,7
2015-05-01,general-gate5,3,1
2015-05-01,general-gate5,4,4
2015-05-01,general-gate5,5,1
2015-05-01,general-gate6,1,2
2015-05-01,general-gate7,1,13
2015-05-01,general-gate7,2,4
2015-05-01,general-gate7,2P,2
2015-05-01,general-gate7,3,4
2015-05-01,general-gate7,4,2
2015-05-01,general-gate7,5,1
2015-05-01,ranger-base,2P,8
2015-05-01,ranger-stop0,1,11
2015-05-01,ranger-stop0,2,4
2015-05-01,ranger-stop0,2P,5
2015-05-01,ranger-stop0,3,4
2015-05-01,ranger-stop0,4,5
2015-05-01,ranger-stop0,5,1
2015-05-01,ranger-stop2,1,11
2015-05-01,ranger-stop2,2,4
2015-05-01,ranger-stop2,2P,3
2015-05-01,ranger-stop2,3,4
2015-05-01,ranger-stop2,4,5
2015-05-01,ranger-stop2,5,1
2015-05-01,ranger-stop3,2P,2
2015-05-01,ranger-stop4,2P,2
2015-05-01,ranger-stop5,2P,4
2015-05-01,ranger-stop6,2P,6
2015-05-02,camping0,1,1
2015-05-02,camping0,3,1
2015-05-02,camping2,1,2
2015-05-02,camping2,3,1
2015-05-02,camping3,1,1
2015-05-02,camping3,2,2
2015-05-02,camping3,3,2
2015-05-02,camping4,2,1
2015-05-02,camping4,3,1
2015-05-02,camping5,1,3
2015-05-02,camping6,1,1
2015-05-02,camping6,3,2
2015-05-02,camping7,2,1
2015-05-02,camping8,2P,1
2015-05-02,camping8,3,2
2015-05-02,entrance0,1,3
2015-05-02,entrance0,2,3
2015-05-02,entrance0,3,4
2015-05-02,entrance0,5,1
2015-05-02,entrance1,1,5
2015-05-02,entrance1,2,2
2015-05-02,entrance1,3,2
2015-05-02,entrance1,5,1
2015-05-02,entrance1,6,1
2015-05-02,entrance2,1,4
2015-05-02,entrance2,2,3
2015-05-02,entrance2,3,1
2015-05-02,entrance2,5,2
2015-05-02,entrance3,1,5
2015-05-02,entrance3,2,2
2015-05-02,entrance3,3,5
2015-05-02,entrance3,5,2
2015-05-02,entrance3,6,1
2015-05-02,entrance4,1,2
2015-05-02,entrance4,2,2
2015-05-02,entrance4,3,3
2015-05-02,entrance4,5,4
2015-05-02,gate2,2P,2
2015-05-02,gate3,2P,4
2015-05-02,gate4,2P,2
2015-05-02,gate5,2P,6
2015-05-02,gate6,2P,6
2015-05-02,gate7,2P,6
2015-05-02,gate8,2P,6
2015-05-02,general-gate1,1,8
2015-05-02,general-gate1,2,4
2015-05-02,general-gate1,2P,2
2015-05-02,general-gate1,3,6
2015-05-02,general-gate1,5,2
2015-05-02,general-gate2,1,8
2015-05-02,general-gate2,2,4
2015-05-02,general-gate2,2P,2
2015-05-02,general-gate2,3,6
2015-05-02,general-gate2,5,2
2015-05-02,general-gate3,2P,1
2015-05-02,general-gate4,1,6
2015-05-02,general-gate4,2,5
2015-05-02,general-gate4,2P,2
2015-05-02,general-gate4,3,6
2015-05-02,general-gate4,5,1
2015-05-02,general-gate5,1,3
2015-05-02,general-gate5,2,2
2015-05-02,general-gate5,2P,5
2015-05-02,general-gate5,3,5
2015-05-02,general-gate5,5,2
2015-05-02,general-gate6,2,1
2015-05-02,general-gate7,1,10
2015-05-02,general-gate7,2,5
2015-05-02,general-gate7,2P,3
2015-05-02,general-gate7,3,7
2015-05-02,general-gate7,5,1
2015-05-02,general-gate7,6,1
2015-05-02,ranger-base,2P,6
2015-05-02,ranger-stop0,1,8
2015-05-02,ranger-stop0,2,4
2015-05-02,ranger-stop0,2P,3
2015-05-02,ranger-stop0,3,6
2015-05-02,ranger-stop0,5,2
2015-05-02,ranger-stop1,2P,2
2015-05-02,ranger-stop2,1,8
2015-05-02,ranger-stop2,2,4
2015-05-02,ranger-stop2,2P,3
2015-05-02,ranger-stop2,3,6
2015-05-02,ranger-stop2,5,2
2015-05-02,ranger-stop3,2P,4
2015-05-02,ranger-stop4,2P,2
2015-05-02,ranger-stop5,2P,2
2015-05-02,ranger-stop6,2P,8
2015-05-02,ranger-stop7,2P,6
2015-05-03,camping0,1,3
2015-05-03,camping0,3,1
2015-05-03,camping2,2,3
2015-05-03,camping3,1,1
2015-05-03,camping4,1,2
2015-05-03,camping4,3,1
2015-05-03,camping5,1,5
2015-05-03,camping5,2,1
2015-05-03,camping5,2P,2
2015-05-03,camping6,3,2
2015-05-03,camping7,3,1
2015-05-03,camping8,1,1
2015-05-03,camping8,2P,1
2015-05-03,camping8,3,1
2015-05-03,entrance0,1,6
2015-05-03,entrance0,2,6
2015-05-03,entrance0,3,1
2015-05-03,entrance0,4,4
2015-05-03,entrance1,1,4
2015-05-03,entrance1,2,4
2015-05-03,entrance1,3,5
2015-05-03,entrance1,4,1
2015-05-03,entrance1,5,2
2015-05-03,entrance2,1,4
2015-05-03,entrance2,2,3
2015-05-03,entrance2,3,3
2015-05-03,entrance2,4,1
2015-05-03,entrance3,1,5
2015-05-03,entrance3,2,6
2015-05-03,entrance3,3,2
2015-05-03,entrance3,4,1
2015-05-03,entrance3,5,2
2015-05-03,entrance4,1,5
2015-05-03,entrance4,2,2
2015-05-03,entrance4,3,5
2015-05-03,entrance4,4,1
2015-05-03,gate3,2P,4
2015-05-03,gate4,2P,2
2015-05-03,gate5,2P,6
2015-05-03,gate6,2P,4
2015-05-03,gate7,2P,4
2015-05-03,gate8,2P,6
2015-05-03,general-gate1,1,8
2015-05-03,general-gate1,2,5
2015-05-03,general-gate1,2P,2
2015-05-03,general-gate1,3,4
2015-05-03,general-gate1,4,2
2015-05-03,general-gate2,1,8
2015-05-03,general-gate2,2,5
2015-05-03,general-gate2,3,4
2015-05-03,general-gate2,4,2
2015-05-03,general-gate3,1,1
2015-05-03,general-gate3,2P,1
2015-05-03,general-gate4,1,8
2015-05-03,general-gate4,2,3
2015-05-03,general-gate4,2P,2
2015-05-03,general-gate4,3,4
2015-05-03,general-gate4,4,1
2015-05-03,general-gate5,1,5
2015-05-03,general-gate5,2,2
2015-05-03,general-gate5,2P,3
2015-05-03,general-gate5,3,3
2015-05-03,general-gate5,4,1
2015-05-03,general-gate6,3,1
2015-05-03,general-gate7,1,12
2015-05-03,general-gate7,2,6
2015-05-03,general-gate7,2P,2
2015-05-03,general-gate7,3,5
2015-05-03,general-gate7,4,1
2015-05-03,general-gate7,5,2
2015-05-03,ranger-base,2P,6
2015-05-03,ranger-stop0,1,8
2015-05-03,ranger-stop0,2,5
2015-05-03,ranger-stop0,2P,2
2015-05-03,ranger-stop0,3,4
2015-05-03,ranger-stop0,4,2
2015-05-03,ranger-stop2,1,8
2015-05-03,ranger-stop2,2,5
2015-05-03,ranger-stop2,2P,2
2015-05-03,ranger-stop2,3,4
2015-05-03,ranger-stop2,4,2
2015-05-03,ranger-stop3,2P,4
2015-05-03,ranger-stop4,2P,2
2015-05-03,ranger-stop5,2P,2
2015-05-03,ranger-stop6,2P,6
2015-05-03,ranger-stop7,2P,4
2015-05-04,camping0,1,1
2015-05-04,camping0,2,1
2015-05-04,camping0,3,2
2015-05-04,camping1,1,2
2015-05-04,camping2,2,1
2015-05-04,camping3,1,2
2015-05-04,camping3,2,2
2015-05-04,camping3,3,2
2015-05-04,camping5,1,1
2015-05-04,camping6,1,1
2015-05-04,camping7,3,1
2015-05-04,camping8,1,1
2015-05-04,camping8,2,1
2015-05-04,camping8,2P,2
2015-05-04,camping8,3,1
2015-05-04,entrance0,1,9
2015-05-04,entrance0,2,1
2015-05-04,entrance0,3,1
2015-05-04,entrance0,4,1
2015-05-04,entrance0,6,1
2015-05-04,entrance1,1,5
2015-05-04,entrance1,2,3
2015-05-04,entrance1,3,2
2015-05-04,entrance1,4,2
2015-05-04,entrance1,6,1
2015-05-04,entrance2,1,2
2015-05-04,entrance2,2,3
2015-05-04,entrance2,3,1
2015-05-04,entrance2,4,2
2015-05-04,entrance2,5,2
2015-05-04,entrance2,6,2
2015-05-04,entrance3,1,7
2015-05-04,entrance3,2,3
2015-05-04,entrance3,3,2
2015-05-04,entrance3,5,1
2015-05-04,entrance4,1,1
2015-05-04,entrance4,2,2
2015-05-04,entrance4,3,2
2015-05-04,entrance4,4,3
2015-05-04,entrance4,5,1
2015-05-04,gate2,2P,2
2015-05-04,gate3,2P,8
2015-05-04,gate4,2P,4
2015-05-04,gate5,2P,8
2015-05-04,gate6,2P,6
2015-05-04,gate7,2P,6
2015-05-04,gate8,2P,8
2015-05-04,general-gate0,1,2
2015-05-04,general-gate1,1,7
2015-05-04,general-gate1,2,6
2015-05-04,general-gate1,2P,2
2015-05-04,general-gate1,3,5
2015-05-04,general-gate1,4,3
2015-05-04,general-gate1,5,1
2015-05-04,general-gate1,6,2
2015-05-04,general-gate2,1,7
2015-05-04,general-gate2,2,6
2015-05-04,general-gate2,2P,2
2015-05-04,general-gate2,3,5
2015-05-04,general-gate2,4,3
2015-05-04,general-gate2,5,1
2015-05-04,general-gate2,6,2
2015-05-04,general-gate3,2P,2
2015-05-04,general-gate4,1,6
2015-05-04,general-gate4,2,4
2015-05-04,general-gate4,2P,2
2015-05-04,general-gate4,3,5
2015-05-04,general-gate4,4,2
2015-05-04,general-gate4,6,1
